Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APMC Fruits and Vegetable Market,"Sector 19, Turbhe, Navi Mumbai, Maharashtra 400703","Sector 19, Turbhe","Navi Mumbai, Maharashtra 400703",,Yn-vZvyEMavgseMPh8ea-Q8,,YES,,,,https://www.google.com/maps?cid=3051117630504648437,19.0762957,73.0124856,,,,https://lh5.googleusercontent.com/p/AF1QipNynC_u8rYcCT0SHV5iUL-ec_h1Ds3gISGMo30=w122-h92-k-no,3.05112E+18,ChIJMfldRj_B5zsR9T4pxlG_Vyo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Vegetable & Fruit Market,"Plot No - 17, Chatrapati Shivaji Marg, Sector 4, Sanpada, Navi Mumbai, Maharashtra 400705","Plot No - 17, Chatrapati Shivaji Marg","Sector 4, Sanpada",Market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,421,4.1,https://search.google.com/local/reviews?placeid=ChIJXS-goETB5zsRRG4rGNovxQQ&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=343733560318586436,19.0643827,73.0110008,,,"Sunday:[7 am–10 pm], Monday:[7 am–10 pm], Tuesday:[7 am–10 pm], Wednesday:[7 am–10 pm], Thursday:[7 am–10 pm], Friday:[7 am–10 pm], Saturday:[7 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipNgHTGgizpsCK2pW2zybFc15dLKdj5_8YkZ3XC3=w204-h92-k-no,3.43734E+17,ChIJXS-goETB5zsRRG4rGNovxQQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vashi,"1, Janta Market Rd, APMC Fruits and Vegetable Market, Sector 19, Turbhe, Navi Mumbai, Maharashtra 400703","1, Janta Market Rd","APMC Fruits and Vegetable Market, Sector 19, Turbhe",Market,Yn-vZvyEMavgseMPh8ea-Q8,,YES,108,4.5,https://search.google.com/local/reviews?placeid=ChIJh3WFspfB5zsR84umcwD2zcw&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14757722035763710963,19.0766454,73.0139931,,,,https://lh5.googleusercontent.com/p/AF1QipMBgHsjEDsiFMxqBOV62ydK8jaDgcdDi-qm0LXR=w80-h142-k-no,1.47577E+19,ChIJh3WFspfB5zsR84umcwD2zcw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhulelal Fruits Navi Mumbai,"Shop No F28/29, Apmc Fruit Market, Sector 19, Vashi, Navi Mumbai, Maharashtra 400703","Shop No F28/29, Apmc Fruit Market, Sector 19, Vashi","Navi Mumbai, Maharashtra 400703",Fruit and vegetable store,Yn-vZvyEMavgseMPh8ea-Q8,,YES,25,4.7,https://search.google.com/local/reviews?placeid=ChIJtVpGszjB5zsR2TGdUsELbTA&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3489458211224629721,19.0753373,73.0100618,http://www.aayushimpex.com/,aayushimpex.com,"Sunday:[Closed], Monday:[6 am–5 pm], Tuesday:[6 am–5 pm], Wednesday:[6 am–5 pm], Thursday:[6 am–5 pm], Friday:[6 am–5 pm], Saturday:[6 am–5 am]",https://lh5.googleusercontent.com/p/AF1QipOMuhLcQ-itrrxH0LahtYBbcgEyy4EBGjgICmxB=w80-h142-k-no,3.48946E+18,ChIJtVpGszjB5zsR2TGdUsELbTA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dainandin bazar (Daily Market),"Opposite BEST Bus Depot, Jagadguru Chandrasekhara Saraswathi Marg, Sector 11, Nerul, Navi Mumbai, Maharashtra 400706",Opposite BEST Bus Depot,Jagadguru Chandrasekhara Saraswathi Marg,"Market,Fruit and vegetable store",Yn-vZvyEMavgseMPh8ea-Q8,,YES,447,4,https://search.google.com/local/reviews?placeid=ChIJdYpP3cLD5zsRPkadPVX4mq4&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12581641554002527806,19.0397724,73.019092,,,"Sunday:[8 am–10 pm], Monday:[8 am–10 pm], Tuesday:[8 am–10 pm], Wednesday:[8 am–10 pm], Thursday:[8 am–10 pm], Friday:[8 am–10 pm], Saturday:[8 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipMJ_Lal2ONDA0EOTdHmXKuEim18ybIMavBDnXD6=w122-h92-k-no,1.25816E+19,ChIJdYpP3cLD5zsRPkadPVX4mq4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable market sector 12,"23V8+2C9, Sector 12, Kharghar, Navi Mumbai, Maharashtra 410210",23V8+2C9,"Sector 12, Kharghar",Fruit and vegetable store,Yn-vZvyEMavgseMPh8ea-Q8,,NO,21,4,https://search.google.com/local/reviews?placeid=ChIJf8A2sxfC5zsRgdX5wqvucPU&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17685898158161909121,19.042549,73.0660943,,,"Sunday:[10 am–1:30 pm], Monday:[10 am–1:30 pm], Tuesday:[10 am–1:30 pm], Wednesday:[10 am–1:30 pm], Thursday:[10 am–1:30 pm], Friday:[10 am–1:30 pm], Saturday:[10 am–1:30 pm]",https://lh5.googleusercontent.com/p/AF1QipNLow29spgwELc4M0QY1NYbUaMyFdDLwwNr9ZoI=w199-h92-k-no,1.76859E+19,ChIJf8A2sxfC5zsRgdX5wqvucPU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"APMC Fruit Market, Gate no.2, Entry","32G7+7GH, APMC Fruits and Vegetable Market, Sector 19, Turbhe, Mumbai, Navi Mumbai, Maharashtra 400703",32G7+7GH,"APMC Fruits and Vegetable Market, Sector 19, Turbhe",Grocery store,Yn-vZvyEMavgseMPh8ea-Q8,,NO,16,4.8,https://search.google.com/local/reviews?placeid=ChIJ2T5LpHLB5zsRSzfM1KDaTtY&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15442520556599785291,19.0756862,73.0138677,,,,https://lh5.googleusercontent.com/p/AF1QipOXKVWbYuO5MqEP8baThD7DVy0IXmVAg4KvXF8c=w80-h142-k-no,1.54425E+19,ChIJ2T5LpHLB5zsRSzfM1KDaTtY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture Produce Market,"3X9X+MX4, Near Axis Bank Branch, Liberty Housing Society, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703",3X9X+MX4,Near Axis Bank Branch,Market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,35,4.2,https://search.google.com/local/reviews?placeid=ChIJO5kyQ0nB5zsRs8IsUgqXmUM&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4871090542562034355,19.0691352,72.999946,,,"Sunday:[8 am–9:30 pm], Monday:[8 am–9:30 pm], Tuesday:[8 am–9:30 pm], Wednesday:[8 am–9:30 pm], Thursday:[8 am–9:30 pm], Friday:[8 am–9:30 pm], Saturday:[8 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipNSsMvGwVTXRRGQ-Inm5VcEs-PsQor8-5QSbLj6=w122-h92-k-no,4.87109E+18,ChIJO5kyQ0nB5zsRs8IsUgqXmUM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Call Seasons Fresh - Avocado, Blueberry, Mango & More! Exotic Daily Fruits Delivered in Mumbai & Navi Mumbai","Apmc Fruit Market, Vashi, Navi Mumbai, Maharashtra 400705",Apmc Fruit Market,Vashi,"Fruit parlor,Fruit wholesaler,Fruits Wholesaler,Produce market",090040 17007,"090040 17007, +91 90040 17007",YES,48,4.9,https://search.google.com/local/reviews?placeid=ChIJlQeVRo_B5zsRHvRoAX0TqMg&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14458828031288472606,19.0746392,73.012147,http://www.callseasonsfresh.in/,callseasonsfresh.in,"Sunday:[Closed], Monday:[6 am–2 pm], Tuesday:[6 am–2 pm], Wednesday:[6 am–2 pm], Thursday:[6 am–2 pm], Friday:[6 am–2 pm], Saturday:[6 am–2 pm]",https://lh5.googleusercontent.com/p/AF1QipNTF12KgVZ0oYqYqXnJJ-9-cKC661HqiiHyC7i0=w80-h99-k-no,1.44588E+19,ChIJlQeVRo_B5zsRHvRoAX0TqMg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Facility Building Fruit Market,"A57-11, Vashi-Turbhe Rd, APMC Fruits and Vegetable Market, Sector 21, Turbhe, Navi Mumbai, Maharashtra 400703","A57-11, Vashi-Turbhe Rd","APMC Fruits and Vegetable Market, Sector 21, Turbhe",Market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,311,3.9,https://search.google.com/local/reviews?placeid=ChIJSfAmUEfB5zsRmb0Ng_UssWU&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7327687501685833113,19.0739566,73.010396,,,"Sunday:[Closed], Monday:[10 am–6 pm], Tuesday:[10 am–6 pm], Wednesday:[10 am–6 pm], Thursday:[10 am–6 pm], Friday:[10 am–6 pm], Saturday:[10 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipNKO3cEFS1PinJTHntHtQ-mHKDnK9SKg18acRyI=w80-h106-k-no,7.32769E+18,ChIJSfAmUEfB5zsRmb0Ng_UssWU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
